geom,TARGET_PLAN,SOL,RMC,EASTING_M,NORTHING_M,ELEV_M,LON_DD,LAT_DD,X,Y,Z,U,V,W,I,J,Image_ID,NOTES
01010000A0E6100000C70BBD217E2B61405627BAAA7FB612C0092A0C14844DB1C0,aegis_post_1343a,1354,54_992,8141921.887,-277300.1576,-4429.515931,137.3591469,-4.678221386,-1.519577655,-3.263649685,0.265930901,-0.254905954,-0.061802453,-0.964988839,254.4256592,289.8883057,NLB_516721703RAS_F0540992CCAM15900M_,Target selected by ccam15900 AEGIS post-drive Navcam observation of bedrock uplinked in the sol 1341 plan and run on sol 1343. Formerly called aegis01343a ccam
01010000A0E6100000F3A25AFD7A2B6140698C43D968B612C0DE5D7C143551B1C0,aegis_post_1347a,1354,54_1490,8141899.152,-277294.998,-4433.207344,137.3587634,-4.678134341,2.616963867,0.429924977,-0.042656161,-0.079536208,-0.325427237,-0.942216062,449.5703022,469.6136662,NLB_517071516RASLF0541490CCAM15900M_,Approximative location of the ccam raster start as selected by AEGIS formerly called aegis1347a ccam
01010000A0E61000009C594DF5792B6140BFD9E5B97CB612C08DC4A6E74952B1C0,aegis_post_1349a,1354,54_1610,8141891.689,-277299.4926,-4434.288691,137.3586375,-4.678210168,2.587367732,-0.538337831,-0.20130903,0.063303918,-0.12159877,-0.990558612,435.5021272,445.3658044,NLB_517261274RASLF0541610CCAM15900M_,Approximate location of the target selected by AEGIS on Sol 1349 formerly called aegis 1349a ccam
01010000A0E61000001973750D732B6140769E1FA8ECB612C0829144EFF452B1C0,aegis_post_1353a,1354,54_2202,8141841.722,-277324.8018,-4434.956776,137.3577945,-4.678637149,1.939184155,-1.679331397,0.086775938,0.283895617,0.046189213,-0.957742072,272.8680955,524.0804287,NLB_517611512RASLF0542202NCAM00354M_,Approximate location of the AEGIS target.
01010000A0E6100000ECA78DAD712B6140A728054B7BB712C0B2852007AD50B1C0,aegis_post_1369a,1371,54_2508,8141831.775,-277357.054,-4432.67589,137.3576267,-4.679181263,-0.69303,-3.20672,-0.63411,0.04028,0.318653,-0.94702,366.7141,340.9902,NLB_519035180RAS_F0542508CCAM15900M_,Target selected by ccam15900 AEGIS post-drive NAVCAM observation uplinked in the sol1368 plan and run on sol1369.
01010000A0E610000003BCAD13742B6140393AB5C7EEB712C039B9DFA1544EB1C0,aegis_post_1371a,1373,54_2784,8141849.133,-277383.1674,-4430.330595,137.3579195,-4.679621811,-1.01239,-2.68085,0.080595,0.39362,-0.00655,-0.91925,867.0966,310.9354,NLB_519214233RAS_F0542784NCAM00654M_,Target selected by ccam15900 AEGIS post-drive Navcam run on sol 1371
01010000A0E61000009604FC92752B61401EBB19CB70B812C0787FBC57F54CB1C0,aegis_post_1374a,1379,54_3036,8141859.967,-277412.5653,-4428.95837,137.3581023,-4.680117773,-2.78134,-3.30695,-0.50163,0.00781,-0.01948,-0.99978,256.0508,134.9268,NLB_519466582RASLF0543036CCAM15900M_,Approximate location of the CCAM target automatically selected by AEGIS post drive on Sol 1374.
01010000A0E6100000E5C719CD752B614068A6F7AABAB812C086AC6EF5844DB1C0,aegis_post_1376a,1378,55_0,8141861.61,-277429.2695,-4429.51937,137.35813,-4.680399581,-1.97247,-3.44833,0.12937,-0.00466,-0.16447,-0.98637,192.2623,210.9601,NLB_519659910RASLF0550000CCAM15900M_,Approximate location of the ChemCam target automatically picked by AEGIS on Sol 1376.
01010000A0E6100000F2AB53ED732B6140BEB9E681ECB912C028B517D11A4CB1C0,aegis_post_1383a,1384,55_538,8141848.049,-277498.4244,-4428.104753,137.3579013,-4.681566267,0.303604,-2.48084,0.154753,0.250572,-0.23339,-0.93954,831.7346,491.693,NLB_520279229RAS_F0550538CCAM15900M_,None
01010000A0E6100000DF633D50702B6140BCA5A740EEBB12C08CD99255F145B1C0,aegis_post_1385a,1386,55_1312,8141821.902,-277614.5899,-4421.942712,137.3574601,-4.683526049,-1.54089,-1.98985,0.142712,0.195099,0.271101,-0.94257,548.6708,495.1438,NLB_520452708RASLF0551312NCAM00354M_,Target found by AEGIS ccam15900 post-drive Navcam observation taken on sol 1385
01010000A0E6100000A5EC7270652B61405AFC770D25BD12C09DFDAFD30444B1C0,aegis_post_1400a,1401,55_2222,8141743.22,-277684.8665,-4420.018855,137.3561327,-4.684711657,0.504547536,-2.891968647,-0.291144906,-0.11536934,0.339260767,-0.933590948,855.0620728,342.1292419,NLB_521777581RAS_F0552222NCAM00654M_,Target selected by ccam15900 AEGIS post-drive Navcam observation of bedrock uplinked in the sol 1400 plan and run on sol 1400.
01010000A0E610000076C461D6612B6140C130F69E93BD12C0FD7B6110C141B1C0,aegis_post_1406a,1408,56_0,8141717.158,-277709.8676,-4417.754156,137.355693,-4.685133442,2.771386213,1.287380279,-0.145843799,-0.689729459,-0.00955188,-0.724004133,430.3274162,376.8162094,NLB_522310078RASLF0560000CCAM15900M_,AEGIS localization
01010000A0E61000006E6DEA6B592B61407287AD3918BF12C0B0AC87E6563CB1C0,aegis_post_1412a,1416,56_774,8141656.264,-277797.7369,-4412.339455,137.3546657,-4.68661585,1.575101024,-3.791266676,0.189455108,-0.031896148,-0.140361064,-0.989586486,937.9378662,192.6775208,NLB_522849560RASLF0560774NCAM00654M_,Target selected by ccam15900 AEGIS post-drive Navcam observation of bedrock uplinked in the sol 1412 plan and run on sol 1412
01010000A0E61000008523F7B9562B6140F340F532B2BF12C00690728EA73AB1C0,aegis_post_1414a,1416,56_1122,8141636.763,-277832.5527,-4410.654517,137.3543367,-4.687203213,-2.369677702,-3.171284294,-0.175482673,0.064407009,-0.066420957,-0.995710779,636.0794678,95.09062195,NLB_523031325RAS_F0561122NCAM00654M_,Target selected by ccam15900 AEGIS post-drive Navcam observation of bedrock uplinked in the sol 1414 plan and run on sol 1414
01010000A0E610000086C3D237582B61403F61DCFDA0BF12C09A7F5FC62F3AB1C0,aegis_post_1417a,1419,56_1236,8141647.556,-277828.6618,-4410.186621,137.3545188,-4.687137572,2.801176447,2.629692146,-0.193379318,-0.105380135,-0.240170046,-0.964993956,456.7913208,156.3664093,NLB_523288245RAS_F0561236NCAM00654M_,alpha N141901
01010000A0E6100000E97ECF19582B614005D266F8A4BF12C050E6D4E1443AB1C0,aegis_post_1417b,1419,56_1236,8141646.707,-277829.5615,-4410.269071,137.3545045,-4.687152749,1.901538259,1.781399981,-0.110929083,0.010177701,-0.253979913,-0.967155974,615.2503662,471.06427,NLB_523288245RAS_F0561236NCAM00654M_,bravo aegis N141902
01010000A0E61000009E8095694C2B614045BB7B6AD9C412C040F180BA8E29B1C0,aegis_post_1439a,1441,57_1020,8141562.134,-278130.8474,-4393.557533,137.3530777,-4.692235626,-2.064441119,-1.480022867,-0.26246668,0.198345786,-0.349093162,-0.915856397,963.0954864,540.7108583,NLB_525246314RAS_F0571020NCAM00654M_,Target selected by ccam15903 AEGIS post-drive Navcam observation of bedrock uplinked in the sol 1439 plan and run on sol 1440.
01010000A0E61000008EC32A674C2B614016B20C73D9C412C0C27F7EFA9329B1C0,aegis_post_1441a,1443,57_1020,8141562.066,-278130.855,-4393.578041,137.3530765,-4.692235754,-2.072007375,-1.548336379,-0.241959013,0.210402402,-0.255809362,-0.943553063,985.1210938,531.7967529,NLB_525428869RAS_F0571020NCAM00654M_,Target selected by ccam15904 AEGIS post-drive Navcam observation of bedrock uplinked in the sol 1441 plan and run on sol 1441
01010000A0E6100000147E48444C2B61409358BC70DBC412C0058E5B539C29B1C0,aegis_post_1441b,1443,57_1020,8141561.08,-278131.3052,-4393.610647,137.3530599,-4.692243349,-2.522193679,-2.534307352,-0.209353063,0.103675435,-0.026833095,-0.994249176,543.1118164,199.1448212,NLB_525428837RAS_F0571020NCAM00654M_,Target selected by ccam15904 AEGIS post-drive Navcam observation of bedrock uplinked in the sol 1441 plan and run on sol 1441
01010000A0E6100000A2E8BF544B2B614060F3925BB0C512C0D4B31C4F2025B1C0,aegis_post_1446a,1448,57_1392,8141554.309,-278179.449,-4389.126207,137.3529457,-4.693055564,-0.072003015,-3.209573677,0.306207155,0.159406252,-0.242211483,-0.957038763,548.7374172,302.4522579,NLB_525874580RASLF0571392CCAM15903M_,Post-drive AEGIS selected target on Sol 1446.
01010000A0E6100000F6E575844C2B61406F862692E1C612C0E9F0DC80A41FB1C0,aegis_post_1449a,1451,57_1942,8141562.894,-278248.4623,-4383.642591,137.3530905,-4.69421986,-2.762291422,-2.24937399,-0.147408706,0.122765834,-0.070872888,-0.989901814,311.0262539,254.084653,NLB_526122307RASLF0571942CCAM15903M_,None
01010000A0E61000004052FDD54B2B614030176C35D3C712C0459CB011E21AB1C0,aegis_post_1455a,1455,57_2798,8141557.962,-278303.1002,-4378.883082,137.3530073,-4.695141635,3.591775481,0.05431155,-0.576917574,0,0,0,0,0,None,Automatically extracted AEGIS target with rank 1 (id=15) selected at SOL-1455M15:05:53.346 (SCLK=526669081.226910) as part of sequence ccam15903 (id=0x2be1f version=0010 checksum=0x336e3cab command=14). Target location adjusted by az=1.000000 mrad el=-1.
01010000A0E610000051D9DFD3542B614094CF104068C912C0047156631916B1C0,aegis_post_1469a,1469,58_264,8141623.024,-278394.6862,-4374.099172,137.3541049,-4.696686746,-2.41521122,-1.409343536,-0.280827978,0,0,0,0,0,None,Automatically extracted AEGIS target with rank 1 (id=113) selected at SOL-1469M15:19:25.361 (SCLK=527912757.243060) as part of sequence ccam15903 (id=0x2be1f version=0010 checksum=0x336e3cab command=14). Target location adjusted by az=1.000000 mrad el=-1
01010000A0E61000008FB6EE28582B61406CDDE893D7C912C0F483593C9B14B1C0,aegis_post_1472a,1472,58_642,8141647.135,-278419.859,-4372.60639,137.3545117,-4.697111426,-2.327035338,-3.061187705,-0.073610387,0,0,0,0,0,None,Automatically extracted AEGIS target with rank 1 (id=25) selected at SOL-1472M12:12:25.145 (SCLK=528167551.895660) as part of sequence ccam15903 (id=0x2be1f version=0010 checksum=0x336e3cab command=14). Target location adjusted by az=1.000000 mrad el=-1.
01010000A0E61000005A669665582B6140244FFEEB4BCA12C08CDD950F2112B1C0,aegis_post_1475a,1475,58_912,8141648.849,-278446.1662,-4370.129144,137.3545406,-4.697555244,0.729820553,-3.329811098,0.059144065,0,0,0,0,0,None,Automatically extracted AEGIS target with rank 1 (id=41) selected at SOL-1475M15:41:01.507 (SCLK=528446735.446620) as part of sequence ccam15903 (id=0x2be1f version=0010 checksum=0x336e3cab command=14). Target location adjusted by az=1.000000 mrad el=-1.
01010000A0E610000004898467582B6140CF79B1008BCA12C05E764D79F410B1C0,aegis_post_1478a,1478,58_1002,8141648.904,-278460.4297,-4368.954976,137.3545415,-4.697795878,-1.002709526,-3.853254732,0.144975931,0,0,0,0,0,None,Automatically extracted AEGIS target with rank 1 (id=49) selected at SOL-1478M15:57:37.859 (SCLK=528714082.398440) as part of sequence ccam15903 (id=0x2be1f version=0010 checksum=0x336e3cab command=14). Target location adjusted by az=1.000000 mrad el=-1.
01010000A0E61000004668C7A7582B614005471A6123CB12C05DD5959DEB0EB1C0,aegis_post_1481a,1481,58_1248,8141650.72,-278494.8843,-4366.920373,137.3545722,-4.698377149,-0.469348289,-3.408951321,-0.099626689,0,0,0,0,0,None,Automatically extracted AEGIS target with rank 1 (id=56) selected at SOL-1481M11:17:16.269 (SCLK=528963121.742160) as part of sequence ccam15903 (id=0x2be1f version=0010 checksum=0x336e3cab command=14). Target location adjusted by az=1.000000 mrad el=-1.
01010000A0E61000005CB52BF45A2B6140F198FA52C8CB12C0893877B53A0CB1C0,aegis_post_1483a,1483,58_1572,8141667.351,-278532.1809,-4364.229331,137.3548528,-4.699006363,-2.104852703,-2.285422851,-0.090668553,0,0,0,0,0,None,Automatically extracted AEGIS target with rank 1 (id=106) selected at SOL-1483M14:24:03.069 (SCLK=529152185.335340) as part of sequence ccam15903 (id=0x2be1f version=0010 checksum=0x336e3cab command=14). Target location adjusted by az=1.000000 mrad el=-1
01010000A0E6100000FE202D335D2B6140B9141C9758CC12C0FDD979CA0E09B1C0,aegis_post_1486a,1486,58_1836,8141683.603,-278564.8016,-4361.057777,137.3551269,-4.699556695,-2.413593858,-2.635248488,-0.232222962,0,0,0,0,0,None,Automatically extracted AEGIS target with rank 1 (id=30) selected at SOL-1486M15:17:12.026 (SCLK=529421785.148470) as part of sequence ccam15903 (id=0x2be1f version=0010 checksum=0x336e3cab command=14). Target location adjusted by az=1.000000 mrad el=-1.
01010000A0E61000008CA525145B2B614010617B8767CC12C0D9F4452ED908B1C0,aegis_post_1487a,1487,58_1986,8141668.254,-278568.1795,-4360.848362,137.354868,-4.699613683,1.969484131,-2.27363201,0.308362324,0,0,0,0,0,None,Automatically extracted AEGIS target with rank 1 (id=88) selected at SOL-1487M15:08:40.003 (SCLK=529510033.460500) as part of sequence ccam15904 (id=0x2be20 version=0011 checksum=0xf6f91653 command=14). Target location adjusted by az=1.000000 mrad el=-1.
01010000A0E6100000036A9B285B2B6140B212D60D68CC12C0C80D6429D708B1C0,aegis_post_1487b,1487,58_1986,8141668.833,-278568.2982,-4360.840475,137.3548778,-4.699615685,1.850814131,-1.69534201,0.300475324,0,0,0,0,0,None,Automatically extracted AEGIS target with rank 2 (id=175) selected at SOL-1487M15:26:33.504 (SCLK=529511136.462750) as part of sequence ccam15904 (id=0x2be20 version=0011 checksum=0xf6f91653 command=71). Target location adjusted by az=1.000000 mrad el=-1
01010000A0E6100000E136A3CB5F2B6140FEBAD0AC52D012C0075C46EC19FFB0C0,aegis_post_1508a_1,1508,59_936,8141702.383,-278795.0059,-4351.101262,137.3554438,-4.70344038,0.631137318,-3.122663733,0.141261518,0,0,0,0,0,None,Automatically extracted AEGIS target with rank 1 (id=94) selected at SOL-1508M15:05:15.015 (SCLK=531374085.367480) as part of sequence ccam15903 (id=0x2be1f version=0011 checksum=0x2b1e8d61 command=14). Target location adjusted by az=1.000000 mrad el=-1.
01010000A0E6100000E136A3CB5F2B6140FEBAD0AC52D012C0075C46EC19FFB0C0,aegis_post_1508a_2,1509,59_936,8141702.383,-278795.0059,-4351.101262,137.3554438,-4.70344038,0.631137318,-3.122663733,0.141261518,0,0,0,0,0,None,
01010000A0E610000095EAE625602B6140EC796C8DFFD012C081FB3E43EDFDB0C0,aegis_post_1509a,1509,59_1260,8141704.935,-278834.096,-4349.926807,137.3554868,-4.704099855,-0.263035259,-3.789394865,0.146807343,0,0,0,0,0,None,Automatically extracted AEGIS target with rank 1 (id=18) selected at SOL-1509M16:41:53.219 (SCLK=531468817.321590) as part of sequence ccam15903 (id=0x2be1f version=0011 checksum=0x2b1e8d61 command=14). Target location adjusted by az=1.000000 mrad el=-1.
01010000A0E6100000165C9509622B6140FDE341C9B4D112C01BA6BD5F6EFAB0C0,aegis_post_1513a,1514,59_1596,8141718.606,-278875.0757,-4346.431148,137.3557175,-4.704791207,-1.304703846,-2.189440238,-0.058851611,0,0,0,0,0,None,
01010000A0E6100000E689F573652B6140AA80BD4D45D212C0E99F627C71F7B0C0,aegis_post_1514a,1514,59_1998,8141743.319,-278907.7533,-4343.443304,137.3561344,-4.705342498,-1.809284723,-2.516754687,0.073304218,0,0,0,0,0,None,
01010000A0E6100000934E5160652B61408F2349CDACD212C0FCA3F8D98CF4B0C0,aegis_post_1516a,1516,59_2242,8141742.764,-278931.1558,-4340.550201,137.356125,-4.705737312,-2.703788489,-2.161910327,-0.279799023,0,0,0,0,0,None,Automatically extracted AEGIS target with rank 1 (id=46) selected at SOL-1516M15:55:07.374 (SCLK=532087355.210620) as part of sequence ccam15903 (id=0x2be1f version=0011 checksum=0x2b1e8d61 command=14). Target location adjusted by az=1.000000 mrad el=-1.
01010000A0E610000049EBBE6D682B61409F5A948126D312C080447A475DF1B0C0,aegis_post_1519a,1519,59_2578,8141764.851,-278958.675,-4337.364372,137.3564976,-4.706201577,-3.688953341,1.491671169,-0.555628088,0,0,0,0,0,None,Automatically extracted AEGIS target with rank 1 (id=61) selected at SOL-1519M14:58:36.407 (SCLK=532350194.273070) as part of sequence ccam15903 (id=0x2be1f version=0011 checksum=0x2b1e8d61 command=14). Target location adjusted by az=1.000000 mrad el=-1.
01010000A0E6100000A1C1AF9F692B6140E249DDBC2CD312C0A5364AB348F0B0C0,aegis_post_1521a,1521,59_2668,8141773.498,-278960.084,-4336.283986,137.3566435,-4.706225348,-2.91600759,-0.545103146,-0.076014253,0,0,0,0,0,None,Automatically extracted AEGIS target with rank 1 (id=95) selected at SOL-1521M16:03:47.061 (SCLK=532531761.210620) as part of sequence ccam15904 (id=0x2be20 version=0012 checksum=0xda6c6dc2 command=14). Target location adjusted by az=1.000000 mrad el=-1.
01010000A0E6100000F6E31AB4692B6140A6C39B702BD312C04B9501BC44F0B0C0,aegis_post_1521b,1521,59_2668,8141774.075,-278959.7905,-4336.268494,137.3566533,-4.706220397,-2.62253859,0.032012854,-0.091506253,0,0,0,0,0,None,Automatically extracted AEGIS target with rank 2 (id=138) selected at SOL-1521M16:22:20.464 (SCLK=532532905.211640) as part of sequence ccam15904 (id=0x2be20 version=0012 checksum=0xda6c6dc2 command=71). Target location adjusted by az=1.000000 mrad el=-1
01010000A0E610000011A04A1C6A2B61402BEC501D52D312C062FE6B2C8FEFB0C0,aegis_post_1526a,1526,59_2830,8141777.02,-278968.5355,-4335.559272,137.3567029,-4.70636793,-2.687455673,0.105778489,-0.240728426,0,0,0,0,0,None,Automatically extracted AEGIS target with rank 1 (id=20) selected at SOL-1526M14:28:05.991 (SCLK=532969734.398100) as part of sequence ccam15903 (id=0x2be1f version=0011 checksum=0x2b1e8d61 command=14). Target location adjusted by az=1.000000 mrad el=-1.
01010000A0E61000003471C442712B61406E79D69E12D412C0A1CE565C10EBB0C0,aegis_post_1576a,1576,60_396,8141828.757,-279012.0639,-4331.063909,137.3575758,-4.707102281,-3.764942334,-1.924959655,-0.266091017,0,0,0,0,0,None,Automatically extracted AEGIS target with rank 1 (id=2) selected at SOL-1576M15:49:33.372 (SCLK=537413476.398380) as part of sequence ccam15903 (id=0x2be1f version=0011 checksum=0x2b1e8d61 command=14). Target location adjusted by az=1.000000 mrad el=-1.0
01010000A0E6100000857A4ACE792B6140249BBE1786D512C036033E6C7FE1B0C0,aegis_post_1582a,1582,60_1266,8141890.586,-279096.0594,-4321.497745,137.3586189,-4.708519336,-2.253409518,-2.624965615,0.007745395,0,0,0,0,0,None,Automatically extracted AEGIS target with rank 1 (id=65) selected at SOL-1582M15:35:54.230 (SCLK=537945281.181690) as part of sequence ccam15903 (id=0x2be1f version=0011 checksum=0x2b1e8d61 command=14). Target location adjusted by az=1.000000 mrad el=-1.
01010000A0E6100000A5DF7592782B6140248DFB4FB5D512C0A6B9813260E1B0C0,aegis_post_1583a,1583,60_1422,8141881.659,-279106.7365,-4321.375771,137.3584683,-4.708699465,0.791511295,-3.366718016,0.215770672,0,0,0,0,0,None,Automatically extracted AEGIS target with rank 1 (id=48) selected at SOL-1583M15:19:51.391 (SCLK=538033066.288860) as part of sequence ccam15903 (id=0x2be1f version=0011 checksum=0x2b1e8d61 command=14). Target location adjusted by az=1.000000 mrad el=-1.
01010000A0E6100000DCDC5491792B6140840498B742D612C0258099CA5EDEB0C0,aegis_post_1584a,1584,60_1650,8141888.863,-279138.7102,-4318.370279,137.3585898,-4.709238881,-1.012223264,-2.461946202,-0.189721075,0,0,0,0,0,None,Automatically extracted AEGIS target with rank 1 (id=124) selected at SOL-1584M14:58:50.861 (SCLK=538120545.523420) as part of sequence ccam15903 (id=0x2be1f version=0011 checksum=0x2b1e8d61 command=14). Target location adjusted by az=1.000000 mrad el=-1
01010000A0E61000006907A1A4732B6140DC555E8E63D712C06EEA227D77D9B0C0,aegis_post_1605a,1605,61_156,8141845.994,-279204.0211,-4313.466753,137.3578666,-4.710340714,1.374946811,2.709401224,0.00675318,0,0,0,0,0,None,Automatically extracted AEGIS target with rank 1 (id=80) selected at SOL-1605M15:34:55.928 (SCLK=539987032.619480) as part of sequence ccam15903 (id=0x2be1f version=0012 checksum=0x911c8fa7 command=20). Target location adjusted by az=1.000000 mrad el=-1.
01010000A0E610000029C0CCFA782B614004DFE10569D812C0C6D3FDACDFD2B0C0,aegis_post_1612a,1612,61_924,8141884.608,-279263.1426,-4306.873733,137.358518,-4.711338131,-2.484637109,-0.367630777,0.013733391,0,0,0,0,0,None,Automatically extracted AEGIS target with rank 1 (id=138) selected at SOL-1612M14:38:27.639 (SCLK=540604972.057040) as part of sequence ccam15903 (id=0x2be1f version=0012 checksum=0x911c8fa7 command=20). Target location adjusted by az=1.000000 mrad el=-1
01010000A0E6100000FC3434E0782B614060C858E170D812C0B9982294B0D2B0C0,aegis_post_1617a,1617,61_1140,8141883.857,-279264.9193,-4306.68976,137.3585053,-4.711368104,3.711713093,-1.828346612,0.019760363,0,0,0,0,0,None,Automatically extracted AEGIS target with rank 1 (id=15) selected at SOL-1617M15:26:39.370 (SCLK=541051815.288910) as part of sequence ccam15903 (id=0x2be1f version=0012 checksum=0x911c8fa7 command=20). Target location adjusted by az=1.000000 mrad el=-1.
01010000A0E6100000B59BB9D07B2B6140438324C5C7D812C03B323E8AB0D1B0C0,aegis_post_1629a,1629,61_1332,8141905.126,-279284.5664,-4305.689609,137.3588642,-4.711699562,-2.375382543,-0.811805586,-0.07039058,0,0,0,0,0,None,Automatically extracted AEGIS target with rank 1 (id=103) selected at SOL-1629M12:20:07.488 (SCLK=542105608.710750) as part of sequence ccam15903 (id=0x2be1f version=0012 checksum=0x911c8fa7 command=20). Target location adjusted by az=1.000000 mrad el=-1
01010000A0E6100000A757E37A7F2B6140AF89AB1249D912C0DE7149EE5FD0B0C0,aegis_post_1631a,1631,61_1650,8141931.643,-279313.8037,-4304.37473,137.3593115,-4.712192814,-2.881697999,-1.996210949,-0.185270281,0,0,0,0,0,None,Automatically extracted AEGIS target with rank 1 (id=21) selected at SOL-1631M12:08:37.606 (SCLK=542282448.681640) as part of sequence ccam15903 (id=0x2be1f version=0012 checksum=0x911c8fa7 command=20). Target location adjusted by az=1.000000 mrad el=-1.
01010000A0E6100000DECE382A7E2B61406D43795FACD912C0AFEC78CC24D0B0C0,aegis_post_1633a,1633,61_1908,8141922.127,-279336.2569,-4304.143745,137.359151,-4.712571613,0.01107667,-2.742870369,0.013745001,0,0,0,0,0,None,Automatically extracted AEGIS target with rank 1 (id=44) selected at SOL-1633M11:21:39.475 (SCLK=542457101.915800) as part of sequence ccam15903 (id=0x2be1f version=0012 checksum=0x911c8fa7 command=20). Target location adjusted by az=1.000000 mrad el=-1.
01010000A0E6100000AADD934D7B2B61402515F81BFDD912C0DBB356598ED0B0C0,aegis_post_1636a,1636,61_2232,8141901.419,-279354.5126,-4304.556051,137.3588016,-4.712879598,3.165383765,-1.766606193,0.1860507,0,0,0,0,0,None,Automatically extracted AEGIS target with rank 1 (id=12) selected at SOL-1636M15:20:38.710 (SCLK=542738158.434710) as part of sequence ccam15903 (id=0x2be1f version=0012 checksum=0x911c8fa7 command=20). Target location adjusted by az=1.000000 mrad el=-1.
01010000A0E6100000E2686635842B61405092C719B6DA12C03BE0E08B0ECCB0C0,aegis_post_1643a,1643,61_3076,8141965.857,-279396.342,-4300.056822,137.3598887,-4.713585284,-2.450962251,2.728157664,-0.283178125,0,0,0,0,0,None,Automatically extracted AEGIS target with rank 1 (id=26) selected at SOL-1643M15:16:57.778 (SCLK=543359352.273350) as part of sequence ccam15903 (id=0x2be1f version=0012 checksum=0x911c8fa7 command=20). Target location adjusted by az=1.000000 mrad el=-1.
01010000A0E61000001B52678F862B6140175DD58F8EDA12C0C059934798CBB0C0,aegis_post_1645a,1645,61_3226,8141982.872,-279387.4016,-4299.594842,137.3601758,-4.713434455,-2.940633669,1.333413997,-0.405157843,0,0,0,0,0,None,Automatically extracted AEGIS target with rank 1 (id=80) selected at SOL-1645M16:25:50.517 (SCLK=543541147.398190) as part of sequence ccam15903 (id=0x2be1f version=0012 checksum=0x911c8fa7 command=20). Target location adjusted by az=1.000000 mrad el=-1.
